bedrooms,bathrooms,sqft,floors,price
5,2.5,3650,2,3
3,2,1930,1,1
4,2.5,1940,1,1
2,1,1200,1,1
2,2,1350,1,1
4,2.5,2710,2,1
3,2.5,2430,1,1
3,1.75,1710,1,1
3,1.75,2330,1,1
3,1,1090,1,1
3,1.5,1200,1,1
3,1.5,1570,1,1
4,3,3110,2,1
3,1.75,1370,1,1
3,1.5,1180,1,1
3,1.75,2240,2,2
4,1,1450,1,1
4,2.5,2730,2,1
4,1.75,1600,1,1
3,2.5,2090,1,1
3,1.75,2360,1,1
5,2.5,2820,2,1
3,2.5,2600,1,2
4,1.75,1560,1,1
4,2.5,2860,2,1
4,2.5,2820,2,1
3,2.5,3240,2,1
2,1,1190,1,1
3,3,1850,1,1
3,2,1960,1,1
3,2.5,2390,1,2
4,2,1480,1,1
2,1,1340,1,1
3,2.5,1770,2,1
2,1,1210,1,1
3,1,1160,1,1
3,2.5,1930,2,1
3,2.5,1270,3,1
4,2.5,3310,2,2
4,2.75,2710,2,1
3,1.75,1800,1,1
5,2.5,2210,1,1
4,1.5,1920,1,1
4,1.75,2190,1,1
3,2.5,2540,2,1
4,2.75,2920,2,1
2,1,1600,1,1
3,2.5,1650,1,1
3,1,1010,1,1
2,2.5,2680,1,2
3,2.5,2200,1,1
4,2.5,2530,2,1
3,2.5,2850,2,2
4,2,2280,1,1
3,2.5,1900,2,1
3,1,1330,1,2
2,3,1270,2,1
4,3,2170,2,2
4,2.5,2730,2,2
4,2.5,2120,1,2
3,2.5,2490,2,2
4,3,3690,2,2
2,1,2540,1,1
4,3,2340,1,1
2,1.75,2110,1,1
2,1,1140,1,1
2,3,1410,2,1
2,1,1200,1,1
5,2.5,3180,2,2
3,1.5,2160,1,1
3,1.75,1560,1,1
5,2.75,2740,1,1
3,2.5,1680,3,1
5,2.5,3090,1,1
5,3.5,4010,2,2
4,2.5,3180,2,2
3,1.75,1330,1,2
4,2.5,2370,2,1
5,2,1840,1,1
4,2.5,2910,2,1
4,1,2070,1,1
3,2.5,2230,2,1
2,1,1380,1,1
5,2.75,3190,1,2
3,1.75,1670,1,1
4,1.75,1970,1,1
3,1,1450,1,1
7,2,13540,3,3
3,2.5,1880,2,1
3,1.75,1880,1,1
3,1.75,1920,1,1
4,2.5,2910,2,1
3,2.5,3240,2,2
3,2,1550,1,1
5,2,2050,1,1
2,2.5,2220,2,2
4,1.75,2300,1,1
3,2,1800,1,1
4,1.75,2010,1,1
3,2.5,1790,2,1
4,2.5,2440,2,1
3,2.5,1940,2,1
2,1.5,1160,2,1
4,2.5,3400,2,2
3,3,1571,3,1
3,2.5,1408,3,1
3,2.5,3040,2,1
5,3.5,4490,2,2
2,2.5,1590,2,1
4,2.5,2450,2,2
4,2,1440,1,1
3,1,1350,1,1
4,2.5,2150,2,1
3,1.75,1490,1,1
3,2,2000,2,1
2,1,1030,1,1
2,1,1750,1,1
3,1.75,1580,1,1
4,2.5,2110,2,1
4,2,1300,1,1
3,1.5,1630,1,1
4,2.75,3370,1,2
4,2.5,1890,1,1
4,2,1520,1,1
2,1,900,1,1
3,1,1050,1,1
3,1.75,1260,1,1
4,2.5,2290,2,2
4,2.5,2331,2,1
5,2.5,2240,1,1
4,3,2450,1,1
4,3,3100,2,1
4,2,2060,1,1
3,1.75,1850,1,1
4,1.75,1840,1,1
4,2,3740,2,2
3,1.5,1420,1,1
3,1,1510,1,1
3,1.75,2130,1,1
3,1.75,1630,1,1
3,2.5,1790,2,1
4,2.5,2000,2,1
4,2.5,3030,2,1
3,1.5,1310,1,1
4,2.5,3880,2,2
5,2.5,2910,1,1
3,2.5,2970,1,1
2,1.75,1660,1,1
4,2.5,3200,2,2
4,2,2680,1,1
3,1,1230,1,1
4,2.5,2740,2,1
4,3.5,3380,2,1
3,1,1110,1,1
5,4,4510,2,3
2,1.75,1170,1,1
3,2.5,2200,2,2
3,1.5,800,1,1
3,2.5,1480,3,1
5,3.75,2890,1,1
3,2.5,2690,3,2
3,2,1270,3,1
5,3,4490,2,3
4,2.5,3040,2,2
3,1.75,1250,1,1
